company,company_quality,description,education_match,employment_type,experience_match,fit_score,fit_tier,fresher_appropriate,gaps,job_url,location,location_match,posting_date,prefilter_score,project_match,reason,recruiter_email,role_match,source,technical_match,title
,0,"Software Development Engineering (Web) RBP Finivis Private Limited Panchkula (Hybrid) ₹ 12,000 /month 6 Months 1.Build and maintain web application features across the stack using Next.js, TypeScript, Node.js and PostgreSQL under mentor guidance
2.Write clean, reviewable, tested code and raise pull requests following the team's Git workflow and coding standards
3.Integrate REST APIs and third-party services and help build authentication, dashboards and workflow modules
Participate in daily st",0,,0,0,,False,[],https://internshala.com/internship/detail/software-development-engineering-web-internship-in-panchkula-at-rbp-finivis-private-limited1786094104,India,0,,29,0,,,0,Internshala,0,Software Development Engineering (Web)
,0,"Full Stack Development Mercuri Bangalore (Hybrid) ₹ 7,500 - 10,000 /month 6 Months Are you a tech-savvy individual with a passion for Full Stack Development? Mercuri company is seeking a talented intern to join our dynamic team! If you have experience with MySQL, HTML, JavaScript, CSS, MongoDB, Node.js, and React, we want to hear from you. As a Full Stack Development intern at Mercuri, you will have the opportunity to work on exciting projects and gain hands-on experience in a fast-paced environ",0,,0,0,,False,[],https://internshala.com/internship/detail/full-stack-development-internship-in-bangalore-at-mercuri1785914768,India,0,,27,0,,,0,Internshala,0,Full Stack Development
,0,"Full Stack Development Bitwit Technologies Jaipur ₹ 20,000 - 30,000 /month 6 Months Are you a tech-savvy individual looking to kickstart your career in Full Stack Development? Bitwit Technologies is seeking a motivated intern with a strong background in Node.js, React, Next.js, MySQL, HTML, JavaScript, and CSS to join our dynamic team. As a Full Stack Development intern, you will have the opportunity to work on exciting projects, collaborate with experienced developers, and gain valuable hands-o",0,,0,0,,False,[],https://internshala.com/internship/detail/full-stack-development-internship-in-jaipur-at-bitwit-technologies1786706788,India,0,,27,0,,,0,Internshala,0,Full Stack Development
,0,"Full Stack Development Leo Swing Work from home ₹ 7,000 - 15,000 /month 3 Months Develop responsive web applications using React.js.
Build backend APIs using Node.js and Express.js.
Work with MongoDB databases.
Debug and optimize existing applications.
Collaborate with UI/UX designers.
Participate in daily meetings.
Work on live client projects.
Maintain code using Git and GitHub. MySQL HTML CSS JavaScript Python MongoDB AngularJS +3 more 1 week ago Job offer upto ₹ 5LPA post internship",0,,0,0,,False,[],https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-leo-swing1786014142,India,0,,27,0,,,0,Internshala,0,Full Stack Development
,0,"Mobile App Development WebCoodee Work from home ₹ 10,000 - 15,000 /month 3 Months As a mobile app development intern at WebCoodee, you will have the opportunity to work with cutting-edge technologies such as React, React Native, Java, JavaScript, Firebase, Firebase Cloud Messaging, REST API, Android, iOS, Redux, Flutter and Node.js. This is an exciting opportunity to gain hands-on experience in developing innovative mobile applications while working closely with our experienced team of developer",0,,0,0,,False,[],https://internshala.com/internship/detail/work-from-home-mobile-app-development-internship-at-webcoodee1786338090,India,0,,27,0,,,0,Internshala,0,Mobile App Development
Velptec,0,"<br><strong>Über uns</strong><p>velpTEC ist ein auf innovative Technologien ausgerichtetes Weiterbildungsinstitut, das Erfahrungen aus Wirtschaft, Zukunftsforschung und neuen Bildungsansätzen verbindet. Wir unterstützen Menschen durch unsere Bildungsangebote praxisnah dabei, ihre Fähigkeiten für künftige Zeiten zu stärken und damit aktiv ihren Lebensweg zu gestalten. In unserem Handeln legen wir Wert auf gesellschaftliche Verantwortung, Fortschritt und Selbstbestimmung. Bereit für eine neue Mission? Dann entdecke jetzt deine Zukunftsperspektive bei velpTEC und werde Teil unseres multiprofessionellen und diversen Teams.<br>​<br>Zur Verstärkung unseres Teams suchen wir zum nächstmöglichen Zeitpunkt einen Softwareentwickler (m/w/d) mit Erfahrung in Moodle, um unsere Lernplattform technisch weiterzuentwickeln und gemeinsam mit unserem Learning Design Team innovative Lernkonzepte in leistungsfähige digitale Lösungen zu übersetzen.</p><br><strong>Was deine Aufgaben sein werden</strong><p><ul><li>Weiterentwicklung und Optimierung unserer Moodle-basierten Lernplattform</li><li>Entwicklung neuer Erweiterungen und Schnittstellen</li><li>Anpassung und Modernisierung bestehender Moodle-Komponenten</li><li>Analyse und Optimierung von Performance, Sicherheit und Benutzerfreundlichkeit</li><li>Mitarbeit an der technischen Konzeption neuer digitaler Lernangebote</li><li>Enge Zusammenarbeit mit unserem Learning Design Team zur Entwicklung innovativer didaktischer Konzepte</li><li>Integration externer Systeme über REST-APIs und Standards wie LTI oder SCORM</li><li>Unterstützung bei Updates, Releases und Qualitätssicherung</li><li>Technischer Support und Fehleranalyse für unsere Moodle-Umgebung</li><li>Dokumentation von Entwicklungen und Best Practice</li></ul></p><br><strong>Das solltest du mitbringen </strong><p><ul><li>Abgeschlossenes Studium der Informatik, Wirtschaftsinformatik oder eine vergleichbare Qualifikation</li><li>Mehrjährige Erfahrung in der Entwicklung mit Moodle</li><li>Sehr gute Kenntnisse in PHP sowie den Moodle Core  APIs</li><li>Erfahrung mit MySQL/MariaDB</li><li>Sicherer Umgang mit Git</li><li>Gute Kenntnisse in HTML5, CSS3 und JavaScript</li><li>Kenntnisse in Webservices, REST-APIs und Authentifizierungsverfahren (OAuth, SAML, LDAP) sind wünschenswert</li><li>Selbstständige, strukturierte und lösungsorientierte Arbeitsweise</li><li>Freude an Teamarbeit und Interesse an modernenTechnologien</li></ul></p><br><strong>Was dich bei velpTEC erwartet</strong><p><ul><li>Hybrides Arbeiten an einem unserer Standorte in Hannover, München oder Leipzig – oder vollständig im Homeoffice, wenn du weiter von unseren Standorten entfernt wohnst.</li><li>Flexible Arbeitszeiten mit Kernarbeitszeit – Arzttermine, Kita und andere wichtige Termine sind kein Problem</li><li>Fixgehalt + Zielbonus + 100 € (in Vollzeit) monatliche betriebliche Altersvorsorge nach 6 Monaten + 15 % Zuschuss auf Eigenanteil + attraktive Mitarbeiterrabatte</li><li>3 bezahlte Educational Days pro Jahr für Weiterbildungen + 1 zusätzlicher Urlaubstag für Ehrenamt</li><li>Ein
jährliches Gesundheitsbudget von 600 € (in Vollzeit) nach 6 Monaten + Zugang zu über 13.000 Fitness- und Wellnessangeboten (EGYM Wellpass)</li><li>Regelmäßige Teamevents und gemeinsame Erlebnisse</li><li>Viel Gestaltungsspielraum, abwechslungsreiche Aufgaben und Offenheit für neue Ideen und Innovationen</li></ul></p><p>Find <a href=""https://www.arbeitnow.com"">Jobs in Germany</a> on Arbeitnow</a>",0,,0,0,,False,[],https://www.arbeitnow.com/jobs/companies/velptec/remote-softwareentwickler-moodle-php-e-learning-380926,Remote (Deutschland),0,,26,0,,,0,Arbeitnow,0,Softwareentwickler (m/w/d) Moodle / PHP / E-Learning
,0,"AI Product Engineer (Freshers & Experienced) Rooman Technologies Bangalore ₹ 10,000 - 25,000 /month 3 Months 1. Build and deploy AI-powered applications and product features.
2. Integrate GPT, Claude, Gemini, Llama, and other LLMs into production workflows.
3. Develop AI Agents, autonomous workflows, and RAG pipelines.
4. Build and consume REST APIs.
5. Develop frontend using React.js/Angular or similar.
6. Build backend services using Python (FastAPI, Flask, or Django).
7. Work with Postg",0,,0,0,,False,[],https://internshala.com/internship/detail/ai-product-engineer-freshers-experienced-internship-in-bangalore-at-rooman-technologies1786442692,India,0,,26,0,,,0,Internshala,0,AI Product Engineer (Freshers & Experienced)
,0,"Full Stack Development BedR India Pvt Ltd Mumbai ₹ 10,000 /month 3 Months 1. Build and ship features across the frontend and backend of BedR/ManagR using Next.js, Node.js/Express, and PostgreSQL
2. Write clean, well-typed TypeScript code across the UI, API, and database layers
3. Debug and fix issues in production, working directly with founders and senior engineers on real product decisions
4. Prior internship experience and strong personal/academic projects preferred. Comfortable working fu",0,,0,0,,False,[],https://internshala.com/internship/detail/full-stack-development-internship-in-mumbai-at-bedr-india-pvt-ltd1786448278,India,0,,26,0,,,0,Internshala,0,Full Stack Development
,0,"Full Stack Development Stayin Bangalore Bangalore (Hybrid) ₹ 10,000 - 20,000 /month 6 Months Are you a full-stack development enthusiast looking to kickstart your career in the tech industry? Look no further! Stayin Bangalore is seeking a dynamic and motivated Full Stack Development Intern to join our team. If you have a strong understanding of JavaScript, React, PostgreSQL, Postman, APIs, NestJS, Vite, and Tailwind CSS, we would love to hear from you. Join us to work on real-world projects, enh",0,,0,0,,False,[],https://internshala.com/internship/detail/full-stack-development-internship-in-bangalore-at-stayin-bangalore1786165620,India,0,,25,0,,,0,Internshala,0,Full Stack Development
,0,"Full Stack Development SK BROTHERS FOODS Work from home ₹ 3,000 - 6,000 /month 1 Month 1. Develop and design a high-performance leaderboard website using Next.js and Tailwind CSS, ensuring a fast, beautiful, and mobile-friendly user interface.
2. Integrate AI models and APIs (like OpenAI or Claude).
3. Manage and optimize databases.
4. Implement real-time updates and animations. Java HTML CSS Python Node.js PostgreSQL React +4 more 1 week ago Part time",0,,0,0,,False,[],https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-sk-brothers-foods1786084934,India,0,,22,0,,,0,Internshala,0,Full Stack Development
